fixture,raw_bytes,raw_tokens,filtered_bytes,filtered_tokens,pct_saved
bloop_compile_compile_error_large_3,1639,181,701,77,57.5
bloop_compile_compile_error_small_3,343,41,238,19,53.7
bloop_compile_compile_pass_3,55,8,32,5,37.5
bloop_compile_incremental_3,0,0,26,3,0.0
bloop_test_mm_munit_funsuite_fail_small_3,4453,418,864,55,86.8
bloop_test_munit_clue_fail_small_3,2249,209,568,43,79.4
bloop_test_munit_funsuite_error_large_3,3956,354,1211,77,78.2
bloop_test_munit_funsuite_error_small_3,965,84,384,22,73.8
bloop_test_munit_funsuite_fail_small_3,2301,213,532,33,84.5
bloop_test_munit_funsuite_pass_large_3,2039,212,39,7,96.7
bloop_test_munit_funsuite_pass_small_3,798,62,38,7,88.7
bloop_test_munit_funsuite_skipped_small_3,947,80,49,9,88.8
bloop_test_munit_funsuite_warn_fail_large_3,12330,1163,2086,139,88.0
bloop_test_munit_funsuite_warn_fail_small_3,2656,248,532,33,86.7
bloop_test_munit_scalacheck_fail_small_3,2742,182,497,32,82.4
bloop_test_no_tests_3,509,28,25,5,82.1
bloop_test_scalatest_featurespec_fail_small_3,1452,161,418,35,78.3
bloop_test_scalatest_flatspec_fail_small_3,901,111,412,35,68.5
bloop_test_scalatest_freespec_fail_small_3,1014,105,398,33,68.6
bloop_test_scalatest_funspec_fail_small_3,1014,105,398,33,68.6
bloop_test_scalatest_funsuite_error_large_3,6317,450,332,22,95.1
bloop_test_scalatest_funsuite_error_small_3,1384,100,325,21,79.0
bloop_test_scalatest_funsuite_fail_large_3,2951,462,1302,143,69.0
bloop_test_scalatest_funsuite_fail_small_3,826,102,398,33,67.6
bloop_test_scalatest_funsuite_pass_large_3,1645,230,39,7,97.0
bloop_test_scalatest_funsuite_pass_small_3,616,65,38,7,89.2
bloop_test_scalatest_funsuite_warn_fail_large_3,3286,497,1302,143,71.2
bloop_test_scalatest_funsuite_warn_fail_small_3,1160,137,398,33,75.9
bloop_test_scalatest_matchers_fail_small_3,980,106,404,35,67.0
bloop_test_scalatest_propspec_fail_small_3,1171,127,338,25,80.3
bloop_test_scalatest_refspec_fail_small_3,965,102,396,33,67.6
bloop_test_scalatest_wordspec_fail_small_3,1043,111,412,35,68.5
bloop_test_specs2_acceptance_fail_small_3,850,102,374,29,71.6
bloop_test_specs2_mutable_error_large_3,4587,444,332,22,95.0
bloop_test_specs2_mutable_error_small_3,1059,94,325,21,77.7
bloop_test_specs2_mutable_fail_large_3,3537,504,1158,119,76.4
bloop_test_specs2_mutable_fail_small_3,886,104,374,29,72.1
bloop_test_specs2_mutable_pass_large_3,2321,320,39,7,97.8
bloop_test_specs2_mutable_pass_small_3,692,75,38,7,90.7
bloop_test_specs2_mutable_warn_fail_large_3,3872,539,1158,119,77.9
bloop_test_specs2_mutable_warn_fail_small_3,1221,139,374,29,79.1
bloop_test_specs2_nested_fail_small_3,865,101,374,29,71.3
bloop_compile_warn_large_3,2006,218,756,98,55.0
bloop_compile_warn_small_3,380,43,260,23,46.5
bloop_test_ziotest_assertion_fail_small_3,2242,230,403,35,84.8
bloop_test_ziotest_asserttrue_error_large_3,8193,577,333,22,96.2
bloop_test_ziotest_asserttrue_error_small_3,1748,132,326,21,84.1
bloop_test_ziotest_asserttrue_fail_large_3,8927,1021,1327,155,84.8
bloop_test_ziotest_asserttrue_fail_small_3,1876,206,403,35,83.0
bloop_test_ziotest_asserttrue_pass_large_3,1733,249,40,7,97.2
bloop_test_ziotest_asserttrue_pass_small_3,692,79,38,7,91.1
bloop_test_ziotest_asserttrue_warn_fail_large_3,9442,1056,1327,155,85.3
bloop_test_ziotest_asserttrue_warn_fail_small_3,2241,241,403,35,85.5
bloop_test_ziotest_effectful_fail_small_3,1870,206,403,35,83.0
bloop_test_ziotest_nested_fail_small_3,2006,218,403,35,83.9
bloop_test_munit_funsuite_fail_large_3,11873,1128,2086,139,87.7
