fixture,raw_bytes,raw_tokens,filtered_bytes,filtered_tokens,pct_saved
real_circe_test_pass_213,163123,16718,43,7,100.0
real_circe_test_fail_213,130076,14002,364,36,99.7
real_circe_test_error_213,129306,13926,318,25,99.8
real_circe_compile_error_213,11510,908,230,22,97.6
real_circe_compile_warn_213,12994,1041,1380,146,86.0
real_zio-json_test_pass_213,26136,2636,53,9,99.7
real_zio-json_test_fail_213,26447,2675,192,21,99.2
real_zio-json_test_error_213,27220,2684,216,20,99.3
real_zio-json_compile_error_213,1179,94,236,21,77.7
real_zio-json_compile_warn_213,790,65,283,34,47.7
real_enumeratum_test_pass_212,12429,2059,41,7,99.7
real_enumeratum_test_fail_212,12518,2078,203,24,98.8
real_enumeratum_test_error_212,13150,2104,235,26,98.8
real_enumeratum_compile_error_212,380,33,122,12,63.6
real_cats-effect_test_pass_3,1045,111,38,7,93.7
real_cats-effect_test_fail_3,704,72,190,20,72.2
real_cats-effect_test_error_3,888,76,247,21,72.4
real_cats-effect_compile_error_3,397,39,124,12,69.2
real_play_compile_error_3,12838,1081,367,40,96.3
real_play_compile_warn_3,13044,1078,1558,182,83.1
